,id,popularity,original_title,cast,director,genres,production_companies,vote_count,vote_average,budget_adj,revenue_adj,lead_actor,main_director,main_genre,main_production_company,profit
0,135397,32.985763,Jurassic World,Chris Pratt|Bryce Dallas Howard|Irrfan Khan|Vincent D'Onofrio|Nick Robinson,Colin Trevorrow,Action|Adventure|Science Fiction|Thriller,Universal Studios|Amblin Entertainment|Legendary Pictures|Fuji Television Network|Dentsu,5562,6.5,137999939.280026,1392445892.5238,Chris Pratt,Colin Trevorrow,Action,Universal Studios,1254445953.243774
1,76341,28.419936,Mad Max: Fury Road,Tom Hardy|Charlize Theron|Hugh Keays-Byrne|Nicholas Hoult|Josh Helman,George Miller,Action|Adventure|Science Fiction|Thriller,Village Roadshow Pictures|Kennedy Miller Productions,6185,7.1,137999939.280026,348161292.489031,Tom Hardy,George Miller,Action,Village Roadshow Pictures,210161353.20900503
2,262500,13.112507,Insurgent,Shailene Woodley|Theo James|Kate Winslet|Ansel Elgort|Miles Teller,Robert Schwentke,Adventure|Science Fiction|Thriller,Summit Entertainment|Mandeville Films|Red Wagon Entertainment|NeoReel,2480,6.3,101199955.472019,271619025.407628,Shailene Woodley,Robert Schwentke,Adventure,Summit Entertainment,170419069.93560898
3,140607,11.173104,Star Wars: The Force Awakens,Harrison Ford|Mark Hamill|Carrie Fisher|Adam Driver|Daisy Ridley,J.J. Abrams,Action|Adventure|Science Fiction|Fantasy,Lucasfilm|Truenorth Productions|Bad Robot,5292,7.5,183999919.040035,1902723129.80182,Harrison Ford,J.J. Abrams,Action,Lucasfilm,1718723210.761785
4,168259,9.335014,Furious 7,Vin Diesel|Paul Walker|Jason Statham|Michelle Rodriguez|Dwayne Johnson,James Wan,Action|Crime|Thriller,Universal Pictures|Original Film|Media Rights Capital|Dentsu|One Race Films,2947,7.3,174799923.088033,1385748801.47052,Vin Diesel,James Wan,Action,Universal Pictures,1210948878.382487
5,281957,9.1107,The Revenant,Leonardo DiCaprio|Tom Hardy|Will Poulter|Domhnall Gleeson|Paul Anderson,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Western|Drama|Adventure|Thriller,Regency Enterprises|Appian Way|CatchPlay|Anonymous Content|New Regency Pictures,3929,7.2,124199945.352024,490314247.021731,Leonardo DiCaprio,Alejandro GonzÃ¡lez IÃ±Ã¡rritu,Western,Regency Enterprises,366114301.669707
6,87101,8.654359,Terminator Genisys,Arnold Schwarzenegger|Jason Clarke|Emilia Clarke|Jai Courtney|J.K. Simmons,Alan Taylor,Science Fiction|Action|Thriller|Adventure,Paramount Pictures|Skydance Productions,2598,5.8,142599937.256027,405355075.683766,Arnold Schwarzenegger,Alan Taylor,Science Fiction,Paramount Pictures,262755138.427739
7,286217,7.6674,The Martian,Matt Damon|Jessica Chastain|Kristen Wiig|Jeff Daniels|Michael PeÃ±a,Ridley Scott,Drama|Adventure|Science Fiction,Twentieth Century Fox Film Corporation|Scott Free Productions|Mid Atlantic Films|International Traders|TSG Entertainment,4572,7.6,99359956.2816192,547749654.310152,Matt Damon,Ridley Scott,Drama,Twentieth Century Fox Film Corporation,448389698.02853286
8,211672,7.40416499999999,Minions,Sandra Bullock|Jon Hamm|Michael Keaton|Allison Janney|Steve Coogan,Kyle Balda|Pierre Coffin,Family|Animation|Adventure|Comedy,Universal Pictures|Illumination Entertainment,2893,6.5,68079970.0448131,1064192016.79551,Sandra Bullock,Kyle Balda,Family,Universal Pictures,996112046.7506969
9,150540,6.326804,Inside Out,Amy Poehler|Phyllis Smith|Richard Kind|Bill Hader|Lewis Black,Pete Docter,Comedy|Animation|Family,Walt Disney Pictures|Pixar Animation Studios|Walt Disney Studios Motion Pictures,3935,8.0,160999929.160031,785411574.698907,Amy Poehler,Pete Docter,Comedy,Walt Disney Pictures,624411645.538876
10,206647,6.200282,Spectre,Daniel Craig|Christoph Waltz|LÃ©a Seydoux|Ralph Fiennes|Monica Bellucci,Sam Mendes,Action|Adventure|Crime,Columbia Pictures|Danjaq|B24,3254,6.2,225399900.824043,810220283.783075,Daniel Craig,Sam Mendes,Action,Columbia Pictures,584820382.9590319
11,76757,6.189369,Jupiter Ascending,Mila Kunis|Channing Tatum|Sean Bean|Eddie Redmayne|Douglas Booth,Lana Wachowski|Lilly Wachowski,Science Fiction|Fantasy|Action|Adventure,Village Roadshow Pictures|Dune Entertainment|Anarchos Productions|Warner Bros.,1937,5.2,161919931.51523,169268630.681802,Mila Kunis,Lana Wachowski,Science Fiction,Village Roadshow Pictures,7348699.166572005
12,264660,6.118847,Ex Machina,Domhnall Gleeson|Alicia Vikander|Oscar Isaac|Sonoya Mizuno|Corey Johnson,Alex Garland,Drama|Science Fiction,DNA Films|Universal Pictures International (UPI)|Film4,2854,7.6,13799993.9280026,33919845.9552677,Domhnall Gleeson,Alex Garland,Drama,DNA Films,20119852.027265098
13,257344,5.984995,Pixels,Adam Sandler|Michelle Monaghan|Peter Dinklage|Josh Gad|Kevin James,Chris Columbus,Action|Comedy|Science Fiction,Columbia Pictures|Happy Madison Productions,1575,5.8,80959964.3776156,224146025.095748,Adam Sandler,Chris Columbus,Action,Columbia Pictures,143186060.7181324
14,99861,5.944927,Avengers: Age of Ultron,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson,Joss Whedon,Action|Adventure|Science Fiction,Marvel Studios|Prime Focus|Revolution Sun Studios,4304,7.4,257599886.656049,1292632336.88177,Robert Downey Jr.,Joss Whedon,Action,Marvel Studios,1035032450.2257209
15,273248,5.8984,The Hateful Eight,Samuel L. Jackson|Kurt Russell|Jennifer Jason Leigh|Walton Goggins|DemiÃ¡n Bichir,Quentin Tarantino,Crime|Drama|Mystery|Western,Double Feature Films|The Weinstein Company|FilmColony,2389,7.4,40479982.1888078,143299244.588332,Samuel L. Jackson,Quentin Tarantino,Crime,Double Feature Films,102819262.3995242
16,260346,5.749758,Taken 3,Liam Neeson|Forest Whitaker|Maggie Grace|Famke Janssen|Dougray Scott,Olivier Megaton,Crime|Action|Thriller,Twentieth Century Fox Film Corporation|M6 Films|Canal+|EuropaCorp|CinÃ©+,1578,6.1,44159980.5696085,299709578.207785,Liam Neeson,Olivier Megaton,Crime,Twentieth Century Fox Film Corporation,255549597.6381765
17,102899,5.573184,Ant-Man,Paul Rudd|Michael Douglas|Evangeline Lilly|Corey Stoll|Bobby Cannavale,Peyton Reed,Science Fiction|Action|Adventure,Marvel Studios,3779,7.0,119599947.376023,477113780.029936,Paul Rudd,Peyton Reed,Science Fiction,Marvel Studios,357513832.653913
18,150689,5.556818,Cinderella,Lily James|Cate Blanchett|Richard Madden|Helena Bonham Carter|Holliday Grainger,Kenneth Branagh,Romance|Fantasy|Family|Drama,Walt Disney Pictures|Genre Films|Beagle Pug Films|Allison Shearmur Productions,1495,6.8,87399961.5440169,498963025.216268,Lily James,Kenneth Branagh,Romance,Walt Disney Pictures,411563063.6722511
19,131634,5.476958,The Hunger Games: Mockingjay - Part 2,Jennifer Lawrence|Josh Hutcherson|Liam Hemsworth|Woody Harrelson|Elizabeth Banks,Francis Lawrence,War|Adventure|Science Fiction,Studio Babelsberg|StudioCanal|Lionsgate|Walt Disney Studios Motion Pictures|Color Force,2380,6.5,147199935.232028,598481289.508232,Jennifer Lawrence,Francis Lawrence,War,Studio Babelsberg,451281354.276204
20,158852,5.462138,Tomorrowland,Britt Robertson|George Clooney|Raffey Cassidy|Thomas Robinson|Hugh Laurie,Brad Bird,Action|Family|Science Fiction|Adventure|Mystery,Walt Disney Pictures|Babieka|A113,1899,6.2,174799923.088033,192312729.942398,Britt Robertson,Brad Bird,Action,Walt Disney Pictures,17512806.85436502
21,307081,5.337064,Southpaw,Jake Gyllenhaal|Rachel McAdams|Forest Whitaker|Oona Laurence|50 Cent,Antoine Fuqua,Action|Drama,Escape Artists|Riche-Ludwig Productions,1386,7.3,27599987.8560053,84373003.7158783,Jake Gyllenhaal,Antoine Fuqua,Action,Escape Artists,56773015.859873
22,254128,4.907832,San Andreas,Dwayne Johnson|Alexandra Daddario|Carla Gugino|Ioan Gruffudd|Archie Panjabi,Brad Peyton,Action|Drama|Thriller,New Line Cinema|Village Roadshow Pictures|Warner Bros.|Flynn Picture Company,2060,6.1,101199955.472019,432851374.985395,Dwayne Johnson,Brad Peyton,Action,New Line Cinema,331651419.513376
23,216015,4.71040199999999,Fifty Shades of Grey,Dakota Johnson|Jamie Dornan|Jennifer Ehle|Eloise Mumford|Victor Rasuk,Sam Taylor-Johnson,Drama|Romance,Focus Features|Trigger Street Productions|Michael De Luca Productions,1865,5.3,36799983.8080071,524079119.045187,Dakota Johnson,Sam Taylor-Johnson,Drama,Focus Features,487279135.2371799
24,318846,4.648046,The Big Short,Christian Bale|Steve Carell|Ryan Gosling|Brad Pitt|Melissa Leo,Adam McKay,Comedy|Drama,Paramount Pictures|Plan B Entertainment|Regency Enterprises,1545,7.3,25759988.6656049,122678731.541358,Christian Bale,Adam McKay,Comedy,Paramount Pictures,96918742.87575309
25,177677,4.566713,Mission: Impossible - Rogue Nation,Tom Cruise|Jeremy Renner|Simon Pegg|Rebecca Ferguson|Ving Rhames,Christopher McQuarrie,Action,Paramount Pictures|Skydance Productions|China Movie Channel|Bad Robot|TC Productions,2349,7.1,137999939.280026,627743451.672881,Tom Cruise,Christopher McQuarrie,Action,Paramount Pictures,489743512.39285505
26,214756,4.564549,Ted 2,Mark Wahlberg|Seth MacFarlane|Amanda Seyfried|Jessica Barth|Giovanni Ribisi,Seth MacFarlane,Comedy,Universal Pictures|Media Rights Capital|Fuzzy Door Productions,1666,6.3,62559972.4736121,198594430.13845,Mark Wahlberg,Seth MacFarlane,Comedy,Universal Pictures,136034457.6648379
27,207703,4.503789,Kingsman: The Secret Service,Taron Egerton|Colin Firth|Samuel L. Jackson|Michael Caine|Mark Strong,Matthew Vaughn,Crime|Comedy|Action|Adventure,Twentieth Century Fox Film Corporation|Marv Films|TSG Entertainment|Cloudy Productions,3833,7.6,74519967.2112144,371497801.660967,Taron Egerton,Matthew Vaughn,Crime,Twentieth Century Fox Film Corporation,296977834.44975257
28,314365,4.062293,Spotlight,Mark Ruffalo|Michael Keaton|Rachel McAdams|Liev Schreiber|John Slattery,Tom McCarthy,Drama|Thriller|History,Participant Media|Open Road Films|Anonymous Content|Rocklin / Faust|Entertainment One Features,1559,7.8,18399991.9040035,81278719.3973634,Mark Ruffalo,Tom McCarthy,Drama,Participant Media,62878727.49335989
29,294254,3.968891,Maze Runner: The Scorch Trials,Dylan O'Brien|Kaya Scodelario|Thomas Brodie-Sangster|Giancarlo Esposito|Aidan Gillen,Wes Ball,Action|Science Fiction|Thriller,Gotham Group|Temple Hill Entertainment|TSG Entertainment,1849,6.4,56119975.3072108,286356245.923251,Dylan O'Brien,Wes Ball,Action,Gotham Group,230236270.61604017
30,280996,3.927333,Mr. Holmes,Ian McKellen|Milo Parker|Laura Linney|Hattie Morahan|Patrick Kennedy,Bill Condon,Mystery|Drama,BBC Films|See-Saw Films|FilmNation Entertainment|Archer Gray|AI-Film,425,6.4,0.0,27006774.877019,Ian McKellen,Bill Condon,Mystery,BBC Films,27006774.877019
31,198184,3.899557,Chappie,Sharlto Copley|Dev Patel|Ninja|Yolandi Visser|Jose Pablo Cantillo,Neill Blomkamp,Crime|Action|Science Fiction,Columbia Pictures|Media Rights Capital|Sony Pictures Entertainment (SPE)|Alpha Core|Genre Films,1990,6.6,45079980.1648087,93903685.2423785,Sharlto Copley,Neill Blomkamp,Crime,Columbia Pictures,48823705.077569805
